review,label
房间干净整洁，服务热情周到，非常满意,2
性价比超高，位置便利，推荐入住,2
早餐种类多，环境安静舒适,2
前台态度好，办理入住快，体验很棒,2
床很舒服，隔音效果好，睡得香,2
卫生间无异味，设施齐全,2
酒店装修新，WiFi速度快，很满意,2
停车方便，周边餐饮多，出行便捷,2
服务贴心，有求必应，下次还来,2
视野好，采光棒，房间宽敞明亮,2
卫生做得很到位，无可挑剔,2
员工有礼貌，整体体验极佳,2
设施维护好，空调制热制冷都快,2
环境优雅，安静不吵，性价比高,2
位置绝佳，离景区近，出行方便,2
房间无异味，干净清爽，住着放心,2
服务响应快，需求马上解决,2
床品舒适，睡眠质量高,2
酒店安全性高，住着安心,2
装修风格简约大气，很喜欢,2
整体不错，就是位置一般,1
设施还行，服务正常，没有亮点,1
房间大小适中，价格合理,1
卫生一般，过得去，不算差,1
早餐种类一般，能吃饱,1
服务中规中矩，没有特别好也没有不好,1
位置还行，出行方便也不算特别便利,1
房间干净但设施有点旧,1
WiFi正常，速度一般,1
隔音一般，能听到走廊声音,1
热水正常，水压稳定,1
前台办理速度一般，不算快也不慢,1
床硬度适中，睡得还行,1
装修一般，普通酒店水平,1
周边配套一般，够用就行,1
服务态度正常，不热情不冷淡,1
房间无异味，也没有特别清新,1
停车方便但车位不多,1
总体一般，符合预期,1
性价比一般，不算亏也不划算,1
卫生差，床单有污渍，受不了,0
隔音极差，一晚上没睡着,0
服务态度恶劣，爱答不理,0
房间有异味，反馈没人处理,0
设施坏了，报修无人维修,0
热水时冷时热，体验极差,0
前台效率低，排队很久,0
卫生不打扫，垃圾没人收,0
WiFi经常断，根本用不了,0
周边环境差，吵闹不安全,0
床品潮湿，有霉味,0
空调不制冷，热得睡不着,0
卫生间堵塞，没人处理,0
服务员语气冲，态度差,0
房间小得可怜，价格还贵,0
设施陈旧，到处是破损,0
隔音差，隔壁说话听得清清楚楚,0
卫生不干净，有头发和灰尘,0
早餐差，种类少还不新鲜,0
投诉无门，问题不解决,0
位置偏僻，打车困难,0
房间有蟑螂，恶心,0
服务敷衍，问题推诿,0
热水供应不足，洗澡不方便,0
装修老旧，墙皮脱落,0
噪音大，无法休息,0
价格虚高，完全不值,0
卫生不达标，住着恶心,0
设施故障频繁，影响入住,0
服务冷漠，毫无体验感,0
房间有异味，通风差,0
停车困难，收费还贵,0
早餐凉，难吃，量少,0
前台态度差，不耐烦,0
隔音差，楼道声音吵死,0
卫生马虎，打扫不干净,0
设施老化，用着不顺手,0
服务不及时，叫半天没人来,0
房间阴暗潮湿，不通风,0
周边脏乱差，不安全,0
空调噪音大，影响休息,0
价格贵，体验差，不推荐,0
卫生差到离谱，再也不来,0
服务差，效率低，态度恶劣,0
设施坏，不维修，坑人,0
隔音差，吵得无法入睡,0
房间小，压抑，不值这个价,0
WiFi慢，经常掉线，没法用,0
热水不稳定，洗澡难受,0
投诉没人理，服务极差,0
装修差，破旧不堪,0
周边不方便，吃饭难,0
床不舒服，腰酸背痛,0
卫生差，有异味,0
服务差，没人管,0
设施差，不能用,0
隔音差,0
房间不干净,0
服务不好,0
设施坏了,0
热水不行,0
WiFi差,0
位置差,0
早餐差,0
前台差,0
噪音大,0
价格贵,0
房间小,0
异味重,0
停车难,0
投诉无果,0
体验极差,0
不推荐,0
再也不来,0
坑人酒店,0
卫生糟糕,0
服务恶劣,0
设施陈旧,0
隔音垃圾,0
房间脏乱,0
热水差,0
WiFi垃圾,0
位置偏僻,0
早餐难吃,0
前台敷衍,0
噪音扰民,0
价格虚高,0
房间压抑,0
异味刺鼻,0
停车收费贵,0
投诉无门,0
体验糟糕,0
绝对差评,0
房间卫生很差，墙角有灰尘，床底还有头发，卫生完全没打扫到位。,0
空调噪音特别大，一晚上嗡嗡响，根本没法好好睡觉。,0
卫生间有异味，排风效果差，洗漱台还有水渍没擦干净。,0
前台服务态度特别差，问问题爱答不理，办理入住速度特别慢。,0
房间设施老旧，插座松动，灯光昏暗，住着特别压抑。,0
热水不稳定，忽冷忽热，洗澡特别难受。,0
隔音效果特别差，走廊说话、隔壁看电视听得一清二楚。,0
房间有一股霉味，通风效果不好，住着很不舒服。,0
床单被罩感觉没换过，有褶皱还有味道，太不卫生了。,0
电梯特别慢，高峰期要等很久，出行很不方便。,0
酒店位置偏僻，晚上周围很黑，一个人住有点害怕。,0
早餐种类特别少，还不好吃，凉的凉、硬的硬，完全不值。,0
房间很小，行李都打不开，格局特别不合理。,0
WiFi 速度特别慢，经常断连，办公和刷视频都用不了。,0
服务响应慢，打电话要东西半小时都没人送过来。,0
